CES UnitId,NPCC Full Name,Type,Zone,Installation Date,Retirement Date,Summer Capacity (MW),Winter Capacity (MW),ISO_Q_ID
65139,BRP LOPENO (DGR),FBAT,COASTAL,2021-12-01,12/31/2100,10.0,10.0,
65140,WESTOVER BESS (DGR),FBAT,WEST,2021-09-01,12/31/2100,10.0,10.0,
65141,SNYDER (DGR),FBAT,WEST,2021-09-01,12/31/2100,10.0,10.0,
65142,SWEETWATER BESS (DGR),FBAT,WEST,2021-10-01,12/31/2100,10.0,10.0,
65143,BRP RANCHTOWN (DGR),FBAT,SOUTH,2021-10-01,12/31/2100,10.0,10.0,
65144,TOYAH POWER STATION (DGR),FBAT,WEST,2021-12-01,12/31/2100,10.0,10.0,
65527,North Zone Capacity Battery,PS,NORTH,2025-06-01,1/1/2100,30.0,30.0,
65543,Castle Gap Battery,PS,WEST,2019-01-01,1/1/2100,10.0,10.0,
65544,Bakersfield Capacity Battery,PS,WEST,2027-06-01,1/1/2100,500.0,500.0,
65545,East Dallas Capacity Battery,PS,NORTH,2027-06-01,1/1/2100,500.0,500.0,
65546,Fayette Capacity Battery,PS,SOUTH,2027-06-01,1/1/2100,600.0,600.0,
65547,San Antonio Capacity Battery,PS,SOUTH,2027-06-01,1/1/2100,200.0,200.0,
65548,Austin Capacity Battery,PS,SOUTH,2027-06-01,1/1/2100,200.0,200.0,
65643,Chisholm Grid,PS,NORTH,2021-07-09,12/31/2100,100.0,100.0,20INR0089
65644,North Fork,PS,SOUTH,2021-05-01,12/31/2100,100.0,100.0,20INR0276
65645,Silicon Hill Storage,PS,SOUTH,2022-02-01,12/31/2100,100.0,100.0,20INR0291
65646,Madero Grid,PS,SOUTH,2022-05-01,12/31/2100,101.0,101.0,21INR0244
65647,SP TX-12B BESS,PS,WEST,2022-02-01,12/31/2100,23.0,23.0,21INR0357
65648,Bat Cave,PS,SOUTH,2021-06-01,12/31/2100,100.0,100.0,21INR0365
65649,Azure Sky BESS,PS,WEST,2021-09-14,12/31/2100,78.0,78.0,21INR0476
65650,Half Moon Battery,PS,SOUTH,2024-05-01,12/31/2100,30.0,30.0,20INR0135
65651,High Lonesome BESS,PS,WEST,2022-06-01,12/31/2100,20.0,20.0,20INR0280
65652,Queen BESS,PS,WEST,2022-06-01,12/31/2100,50.0,50.0,20INR0281
65653,River Valley Storage 1,PS,SOUTH,2022-05-30,12/31/2100,52.0,52.0,20INR0290
65654,River Valley Storage 2,PS,SOUTH,2022-05-30,12/31/2100,52.0,52.0,20INR0293
65655,Independence Trail Storage,PS,PANHANDLE,2025-05-01,12/31/2100,100.0,100.0,21INR0455
65656,DeCordova BESS addition,PS,NORTH,2022-05-03,12/31/2100,263.0,263.0,21INR0459
65657,Republic Road Storage,PS,NORTH,2022-01-03,12/31/2100,50.0,50.0,21INR0460
65658,Endurance Park Storage,PS,WEST,2022-06-01,12/31/2100,52.0,52.0,21INR0479
65659,Juanita Hill Storage,PS,SOUTH,2025-05-01,12/31/2100,209.0,209.0,21INR0480
65660,Sisters Storage,PS,WEST,2025-05-01,12/31/2100,504.0,504.0,21INR0482
65661,Nickel Prairie Storage,PS,COASTAL,2026-05-01,12/31/2100,209.0,209.0,21INR0487
65662,Cottage Meadow Storage,PS,COASTAL,2026-05-01,12/31/2100,209.0,209.0,21INR0488
65663,Roseland Storage,PS,NORTH,2026-05-01,12/31/2100,100.0,100.0,22INR0280
65664,Endurance Park Storage 2,PS,WEST,2026-05-01,12/31/2100,52.0,52.0,22INR0324
65665,Hummingbird Storage,PS,NORTH,2026-05-01,12/31/2100,105.0,105.0,22INR0327
65666,Limousin Oak Storage,PS,NORTH,2027-05-01,12/31/2100,105.0,105.0,22INR0338
65667,Barrel Summit Storage,PS,NORTH,2027-05-01,12/31/2100,105.0,105.0,22INR0348
65668,Brangus Storage,PS,SOUTH,2027-05-01,12/31/2100,200.0,200.0,23INR0022
65669,Lily Storage,PS,NORTH,2021-06-30,12/31/2100,52.0,52.0,20INR0294
65670,Gambit Storage,PS,COASTAL,2021-06-01,12/31/2100,102.0,102.0,21INR0364
65688,ALVIN_RN Small Battery,FBAT,HOUSTON,2020-10-01,12/31/2100,10.0,10.0,
65689,BRHEIGHT_RN Small Battery,FBAT,HOUSTON,2020-10-01,12/31/2100,10.0,10.0,
65690,BRPANGLE_RN Small Battery,FBAT,SOUTH,2020-10-01,12/31/2100,10.0,10.0,
65691,BRPMAGNO_RN Small Battery,FBAT,HOUSTON,2020-10-01,12/31/2100,10.0,10.0,
65692,BRP_BRAZ_RN Small Battery,FBAT,SOUTH,2020-10-01,12/31/2100,10.0,10.0,
65693,BRP_DIKN_RN Small Battery,FBAT,HOUSTON,2020-10-01,12/31/2100,10.0,10.0,
65694,BRP_LOOP_RN Small Battery,FBAT,SOUTH,2020-12-01,12/31/2100,10.0,10.0,
65695,BRP_RN_UNIT1 Small Battery,FBAT,SOUTH,2020-12-01,12/31/2100,10.0,10.0,
65696,BRP_SWNY_RN Small Battery,FBAT,HOUSTON,2020-12-01,12/31/2100,10.0,10.0,
65697,FLVABES1_ESR Small Battery,FBAT,WEST,2020-12-01,12/31/2100,10.0,10.0,
65698,HRBESS_BESS Small Battery,FBAT,WEST,2020-12-01,12/31/2100,10.0,10.0,
